(272s) loss_phi: -551.100904,  loss_theta: 421.941356,  ess_rws: 1.020165,  ess_mu: 1.896413,  ess_local: 8.309237,  density: -820.066302
(271s) loss_phi: -549.888013,  loss_theta: 415.980422,  ess_rws: 1.019272,  ess_mu: 1.901871,  ess_local: 8.329970,  density: -814.501805
(269s) loss_phi: -548.782642,  loss_theta: 410.488502,  ess_rws: 1.018625,  ess_mu: 1.910955,  ess_local: 8.351029,  density: -809.934140
(269s) loss_phi: -547.244500,  loss_theta: 404.638821,  ess_rws: 1.019229,  ess_mu: 1.905016,  ess_local: 8.367004,  density: -805.561104
(270s) loss_phi: -546.196666,  loss_theta: 401.841979,  ess_rws: 1.020515,  ess_mu: 1.914432,  ess_local: 8.387323,  density: -801.957368
(266s) loss_phi: -545.014541,  loss_theta: 400.328881,  ess_rws: 1.020139,  ess_mu: 1.919142,  ess_local: 8.406875,  density: -798.802215
(269s) loss_phi: -544.196753,  loss_theta: 393.877169,  ess_rws: 1.020952,  ess_mu: 1.918288,  ess_local: 8.434890,  density: -792.515022
(265s) loss_phi: -542.221586,  loss_theta: 387.640494,  ess_rws: 1.021020,  ess_mu: 1.931419,  ess_local: 8.455202,  density: -787.388734
(265s) loss_phi: -541.832854,  loss_theta: 387.400479,  ess_rws: 1.020432,  ess_mu: 1.934039,  ess_local: 8.473130,  density: -785.066457
(266s) loss_phi: -540.904994,  loss_theta: 381.428322,  ess_rws: 1.019728,  ess_mu: 1.935354,  ess_local: 8.497750,  density: -779.525023
(266s) loss_phi: -539.524880,  loss_theta: 379.789235,  ess_rws: 1.021158,  ess_mu: 1.945378,  ess_local: 8.515088,  density: -776.505319
(265s) loss_phi: -538.585255,  loss_theta: 375.264451,  ess_rws: 1.022037,  ess_mu: 1.949234,  ess_local: 8.531904,  density: -772.176455
(265s) loss_phi: -537.293950,  loss_theta: 370.334886,  ess_rws: 1.019745,  ess_mu: 1.950382,  ess_local: 8.560411,  density: -767.422284
(265s) loss_phi: -536.237521,  loss_theta: 366.800246,  ess_rws: 1.020394,  ess_mu: 1.950427,  ess_local: 8.574322,  density: -764.156534
(265s) loss_phi: -535.996235,  loss_theta: 364.273095,  ess_rws: 1.020664,  ess_mu: 1.955448,  ess_local: 8.592208,  density: -759.579732
(272s) loss_phi: -534.389179,  loss_theta: 357.461701,  ess_rws: 1.022160,  ess_mu: 1.973423,  ess_local: 8.620250,  density: -753.979388
(268s) loss_phi: -532.858565,  loss_theta: 355.290104,  ess_rws: 1.021915,  ess_mu: 1.971623,  ess_local: 8.640142,  density: -750.418618
(265s) loss_phi: -531.759299,  loss_theta: 348.760120,  ess_rws: 1.021599,  ess_mu: 1.980262,  ess_local: 8.661894,  density: -745.036324
(265s) loss_phi: -530.250946,  loss_theta: 345.171842,  ess_rws: 1.021866,  ess_mu: 1.979801,  ess_local: 8.679797,  density: -741.382946
(265s) loss_phi: -529.452770,  loss_theta: 340.264338,  ess_rws: 1.022825,  ess_mu: 1.987801,  ess_local: 8.700708,  density: -736.366343
(265s) loss_phi: -528.293657,  loss_theta: 335.479182,  ess_rws: 1.023214,  ess_mu: 1.986433,  ess_local: 8.725940,  density: -732.605791
(265s) loss_phi: -527.859790,  loss_theta: 335.741418,  ess_rws: 1.021741,  ess_mu: 1.993198,  ess_local: 8.738877,  density: -729.606575
(265s) loss_phi: -526.042732,  loss_theta: 327.725104,  ess_rws: 1.021984,  ess_mu: 2.007762,  ess_local: 8.760187,  density: -724.240014
(265s) loss_phi: -524.383427,  loss_theta: 324.194412,  ess_rws: 1.023969,  ess_mu: 2.010678,  ess_local: 8.782484,  density: -721.472066
(265s) loss_phi: -523.789745,  loss_theta: 324.671513,  ess_rws: 1.022405,  ess_mu: 2.010919,  ess_local: 8.797184,  density: -718.267887
(265s) loss_phi: -522.967267,  loss_theta: 321.591389,  ess_rws: 1.023936,  ess_mu: 2.019868,  ess_local: 8.811486,  density: -715.330823
(264s) loss_phi: -522.785340,  loss_theta: 313.615716,  ess_rws: 1.022314,  ess_mu: 2.024441,  ess_local: 8.832804,  density: -709.134171
