EUBOs, ELBOs, ESS, MCKls_exclusive, TrueKls_exclusive, MCKls_inclusive, TrueKls_inclusive
-469.2327557373047, -877.8757260131836, 1.0240059649944306, 471.5590419006348, 78.77123378753662, -229.1412168121338, 18.411356146335603
-465.9542541503906, -878.1650466918945, 1.023708221912384, 477.9989208984375, 79.80282413482666, -226.91232231140137, 13.91758487701416
-462.1674166870117, -870.917336730957, 1.0233968496322632, 470.06022216796873, 78.5315461730957, -225.50526000976564, 13.433651435375214
-464.8803332519531, -874.5853472900391, 1.0261986660957336, 472.48546936035154, 79.1427799987793, -226.5598073577881, 13.396710216999054
-463.30220184326174, -876.6285629272461, 1.021943475008011, 472.09995422363284, 78.93636837005616, -223.67540565490722, 18.361011588573454
-457.7038543701172, -873.1966815185547, 1.0231695246696473, 474.1678912353516, 78.88948719024658, -222.04119537353515, 15.929555442333221
-460.86803314208987, -884.1506979370117, 1.0230018019676208, 477.57071075439455, 79.55333114624024, -224.05816329956053, 12.000420186519623
-451.7164111328125, -878.1340628051757, 1.0179685044288636, 478.91372512817384, 80.2730602645874, -221.3594847869873, 8.688721387386321
-463.8036077880859, -873.813932800293, 1.026666340827942, 473.6927066040039, 78.69191581726074, -225.75254676818847, 8.753949108123779
-451.89331298828125, -874.7311761474609, 1.0310883450508117, 471.25324951171876, 78.83664966583252, -218.62829902648926, 7.304324262142181
-448.7902020263672, -878.4326898193359, 1.0243100202083588, 473.51821868896485, 78.11901008605957, -214.63654167175292, 7.9275889039039615
-452.8431869506836, -863.569846496582, 1.0296790158748628, 465.1681335449219, 77.7490463256836, -220.0852091217041, 7.669085321426391
-451.7878088378906, -869.075107421875, 1.0251526200771333, 468.92021606445314, 77.96183334350586, -218.99474845886232, 7.299613513946533
-445.7137255859375, -868.8072741699219, 1.0212572777271272, 465.4726721191406, 77.63561782836913, -212.67641609191895, 6.266666347980499
-450.4383554077148, -854.6470864868164, 1.027844445705414, 461.43739135742186, 77.2526672744751, -215.63082847595214, 6.449268963336944
-440.581721496582, -870.2359069824219, 1.0297465121746063, 468.3001458740234, 77.63526721954345, -211.86771240234376, 5.957224359512329
-446.25731964111327, -846.8466934204101, 1.0319987642765045, 454.91221008300784, 75.78837112426758, -212.8370323944092, 4.865872442722321
