(386s) loss_phi: -475.032402,  loss_theta: 391.331627,  ess_rws: 1.019366,  ess_mu: 1.273971,  ess_local: 1.031349,  density: -726.439531
(387s) loss_phi: -473.796801,  loss_theta: 387.730865,  ess_rws: 1.019505,  ess_mu: 1.273251,  ess_local: 1.029461,  density: -723.627339
(387s) loss_phi: -473.055978,  loss_theta: 383.903820,  ess_rws: 1.019757,  ess_mu: 1.273205,  ess_local: 1.030532,  density: -719.390181
(387s) loss_phi: -472.164390,  loss_theta: 381.334173,  ess_rws: 1.019709,  ess_mu: 1.279902,  ess_local: 1.029582,  density: -716.690284
(387s) loss_phi: -471.308055,  loss_theta: 376.350537,  ess_rws: 1.020451,  ess_mu: 1.278496,  ess_local: 1.030561,  density: -712.447818
(386s) loss_phi: -470.172679,  loss_theta: 378.069170,  ess_rws: 1.019862,  ess_mu: 1.278241,  ess_local: 1.031719,  density: -710.489712
(387s) loss_phi: -469.285811,  loss_theta: 370.811243,  ess_rws: 1.019557,  ess_mu: 1.276823,  ess_local: 1.028797,  density: -705.374835
(386s) loss_phi: -468.289570,  loss_theta: 366.960270,  ess_rws: 1.020395,  ess_mu: 1.284911,  ess_local: 1.033471,  density: -700.758864
(386s) loss_phi: -467.225631,  loss_theta: 362.932485,  ess_rws: 1.020096,  ess_mu: 1.281924,  ess_local: 1.033046,  density: -697.210522
(387s) loss_phi: -465.937131,  loss_theta: 358.637002,  ess_rws: 1.020474,  ess_mu: 1.285836,  ess_local: 1.030577,  density: -693.459841
(386s) loss_phi: -464.922918,  loss_theta: 356.441152,  ess_rws: 1.021137,  ess_mu: 1.287127,  ess_local: 1.031928,  density: -689.263380
(386s) loss_phi: -464.009717,  loss_theta: 352.428400,  ess_rws: 1.021221,  ess_mu: 1.286090,  ess_local: 1.032019,  density: -686.408410
(387s) loss_phi: -463.018770,  loss_theta: 344.884164,  ess_rws: 1.021571,  ess_mu: 1.290311,  ess_local: 1.033940,  density: -679.471004
(387s) loss_phi: -461.715962,  loss_theta: 344.735129,  ess_rws: 1.021432,  ess_mu: 1.287657,  ess_local: 1.032473,  density: -677.726564
(387s) loss_phi: -460.770572,  loss_theta: 339.380330,  ess_rws: 1.020280,  ess_mu: 1.291145,  ess_local: 1.030550,  density: -673.378145
(387s) loss_phi: -459.989299,  loss_theta: 335.307752,  ess_rws: 1.021991,  ess_mu: 1.295230,  ess_local: 1.032991,  density: -668.694902
(387s) loss_phi: -458.725567,  loss_theta: 332.130733,  ess_rws: 1.021400,  ess_mu: 1.295582,  ess_local: 1.035162,  density: -664.258132
(387s) loss_phi: -457.504234,  loss_theta: 327.446495,  ess_rws: 1.021455,  ess_mu: 1.299739,  ess_local: 1.033627,  density: -660.711523
(387s) loss_phi: -456.528070,  loss_theta: 322.499079,  ess_rws: 1.021256,  ess_mu: 1.297711,  ess_local: 1.034498,  density: -656.672524
(388s) loss_phi: -455.801927,  loss_theta: 317.718000,  ess_rws: 1.021111,  ess_mu: 1.301933,  ess_local: 1.034282,  density: -651.408133
(388s) loss_phi: -454.130224,  loss_theta: 315.024451,  ess_rws: 1.023773,  ess_mu: 1.299636,  ess_local: 1.033334,  density: -647.821133
(386s) loss_phi: -453.341126,  loss_theta: 313.174283,  ess_rws: 1.020434,  ess_mu: 1.304591,  ess_local: 1.036652,  density: -644.949206
(386s) loss_phi: -452.359048,  loss_theta: 306.171033,  ess_rws: 1.020182,  ess_mu: 1.304763,  ess_local: 1.034026,  density: -639.031551
(387s) loss_phi: -451.366538,  loss_theta: 304.131077,  ess_rws: 1.022503,  ess_mu: 1.311597,  ess_local: 1.035441,  density: -636.542005
(383s) loss_phi: -450.407607,  loss_theta: 300.835029,  ess_rws: 1.021220,  ess_mu: 1.309904,  ess_local: 1.036239,  density: -631.898799
(386s) loss_phi: -449.982294,  loss_theta: 301.684299,  ess_rws: 1.021676,  ess_mu: 1.305373,  ess_local: 1.035868,  density: -630.177791
(387s) loss_phi: -448.751830,  loss_theta: 292.200014,  ess_rws: 1.022900,  ess_mu: 1.313227,  ess_local: 1.035894,  density: -623.976245
