(20s) Epoch=9, Group=2, loss_phi: -69.2845,  loss_theta: 2219.6802,  ess: 1.0481,  density: -2873.8663
(20s) Epoch=9, Group=3, loss_phi: -71.9808,  loss_theta: 1977.7986,  ess: 1.0603,  density: -2573.0748
(20s) Epoch=9, Group=4, loss_phi: -70.9471,  loss_theta: 1902.6625,  ess: 1.0419,  density: -2531.6361
(20s) Epoch=9, Group=5, loss_phi: -68.4612,  loss_theta: 2017.9639,  ess: 1.0411,  density: -2641.1025
(20s) Epoch=9, Group=6, loss_phi: -67.2131,  loss_theta: 2036.9629,  ess: 1.0542,  density: -2659.5944
(20s) Epoch=9, Group=7, loss_phi: -69.1451,  loss_theta: 2011.9024,  ess: 1.0482,  density: -2612.5501
(20s) Epoch=9, Group=8, loss_phi: -70.4769,  loss_theta: 2064.7215,  ess: 1.0524,  density: -2669.7568
(20s) Epoch=9, Group=9, loss_phi: -65.9378,  loss_theta: 2167.6075,  ess: 1.0448,  density: -2821.7620
(20s) Epoch=10, Group=0, loss_phi: -69.7031,  loss_theta: 2133.6154,  ess: 1.0396,  density: -2770.3341
(20s) Epoch=10, Group=1, loss_phi: -69.3523,  loss_theta: 1927.8146,  ess: 1.0517,  density: -2521.4819
(20s) Epoch=10, Group=2, loss_phi: -72.4499,  loss_theta: 1913.5199,  ess: 1.0673,  density: -2468.2857
(20s) Epoch=10, Group=3, loss_phi: -74.0881,  loss_theta: 2142.5200,  ess: 1.0510,  density: -2730.4305
(20s) Epoch=10, Group=4, loss_phi: -70.2593,  loss_theta: 1820.0732,  ess: 1.0583,  density: -2409.3159
(20s) Epoch=10, Group=5, loss_phi: -69.9255,  loss_theta: 1961.5308,  ess: 1.0430,  density: -2539.5027
(20s) Epoch=10, Group=6, loss_phi: -71.7052,  loss_theta: 1950.3704,  ess: 1.0478,  density: -2509.3769
(20s) Epoch=10, Group=7, loss_phi: -73.0936,  loss_theta: 1963.2383,  ess: 1.0627,  density: -2516.4640
(20s) Epoch=10, Group=8, loss_phi: -71.7753,  loss_theta: 1966.2148,  ess: 1.0558,  density: -2524.9156
(20s) Epoch=10, Group=9, loss_phi: -75.2946,  loss_theta: 1774.0346,  ess: 1.0663,  density: -2296.6253
(20s) Epoch=11, Group=0, loss_phi: -75.5923,  loss_theta: 1943.7760,  ess: 1.0527,  density: -2492.7451
(20s) Epoch=11, Group=1, loss_phi: -74.2444,  loss_theta: 1927.1792,  ess: 1.0635,  density: -2470.1107
(20s) Epoch=11, Group=2, loss_phi: -74.9165,  loss_theta: 1865.4483,  ess: 1.0568,  density: -2404.4529
(20s) Epoch=11, Group=3, loss_phi: -73.6114,  loss_theta: 2061.3678,  ess: 1.0533,  density: -2641.4734
(20s) Epoch=11, Group=4, loss_phi: -74.4735,  loss_theta: 1841.0330,  ess: 1.0610,  density: -2366.8085
(20s) Epoch=11, Group=5, loss_phi: -72.0350,  loss_theta: 1921.9846,  ess: 1.0626,  density: -2478.6118
(20s) Epoch=11, Group=6, loss_phi: -74.5467,  loss_theta: 1729.3980,  ess: 1.0647,  density: -2239.4466
(20s) Epoch=11, Group=7, loss_phi: -74.4996,  loss_theta: 1774.3107,  ess: 1.0541,  density: -2315.7203
(20s) Epoch=11, Group=8, loss_phi: -72.8712,  loss_theta: 1880.9905,  ess: 1.0661,  density: -2407.4013
(20s) Epoch=11, Group=9, loss_phi: -72.0596,  loss_theta: 2036.0287,  ess: 1.0531,  density: -2590.3276
(20s) Epoch=12, Group=0, loss_phi: -75.0646,  loss_theta: 1687.8239,  ess: 1.0561,  density: -2194.3443
(20s) Epoch=12, Group=1, loss_phi: -76.6577,  loss_theta: 2015.2382,  ess: 1.0503,  density: -2542.7085
(20s) Epoch=12, Group=2, loss_phi: -77.4608,  loss_theta: 1802.5761,  ess: 1.0561,  density: -2290.2843
(20s) Epoch=12, Group=3, loss_phi: -76.5393,  loss_theta: 1854.4513,  ess: 1.0565,  density: -2350.2373
(20s) Epoch=12, Group=4, loss_phi: -79.5029,  loss_theta: 1810.3686,  ess: 1.0665,  density: -2300.2053
(20s) Epoch=12, Group=5, loss_phi: -77.3883,  loss_theta: 1872.0445,  ess: 1.0560,  density: -2386.6788
