EUBO	ELBO	ESS
438.295	431.734	5.614
438.351	431.426	5.338
438.471	430.983	5.148
438.392	431.851	5.563
438.449	431.964	5.352
438.549	431.098	5.065
438.400	431.676	5.482
438.358	431.730	5.539
438.475	431.633	5.326
438.358	432.044	5.518
438.473	431.123	5.125
438.444	431.677	5.384
438.373	431.911	5.464
438.421	431.803	5.291
438.383	431.720	5.426
438.447	430.969	5.233
438.557	430.416	5.020
438.438	431.829	5.432
438.544	431.876	5.243
438.402	432.191	5.590
438.358	432.058	5.427
438.586	430.813	4.902
438.490	431.510	5.257
438.451	431.944	5.373
438.373	432.001	5.420
438.430	432.093	5.423
438.377	432.034	5.357
438.468	431.570	5.272
438.472	431.954	5.438
438.404	432.194	5.387
438.420	432.177	5.447
438.436	432.107	5.319
438.422	432.093	5.299
438.452	432.381	5.464
438.438	431.888	5.421
438.407	431.943	5.291
438.471	431.971	5.308
438.487	432.094	5.357
438.392	432.644	5.499
438.570	430.653	4.822
438.394	432.362	5.438
438.457	431.890	5.212
438.395	432.138	5.424
438.465	431.698	5.188
438.372	432.071	5.492
438.343	432.692	5.673
438.362	432.122	5.482
438.459	432.471	5.448
438.496	432.308	5.309
438.385	432.660	5.561
438.369	432.531	5.588
438.435	432.558	5.427
438.425	431.993	5.314
438.347	432.633	5.538
438.512	432.000	5.249
438.384	432.467	5.459
438.444	432.006	5.274
438.477	432.371	5.375
438.453	432.152	5.299
438.389	432.386	5.429
438.343	432.550	5.601
438.575	431.478	4.985
438.429	432.799	5.487
438.486	431.865	5.105
438.398	432.831	5.536
438.446	432.634	5.422
438.391	432.724	5.435
438.447	432.227	5.296
438.446	432.393	5.424
438.450	432.221	5.412
438.417	432.369	5.462
438.317	432.810	5.668
438.368	432.506	5.456
438.452	432.206	5.257
438.441	432.709	5.461
438.482	431.924	5.191
438.413	432.615	5.436
438.387	433.021	5.602
438.441	432.129	5.296
438.356	432.995	5.594
438.435	432.452	5.397
438.373	433.058	5.670
438.389	432.570	5.422
438.386	432.770	5.492
438.551	431.867	5.119
438.385	432.428	5.428
438.305	432.453	5.481
438.452	432.608	5.368
438.430	432.721	5.435
438.348	432.777	5.591
438.365	432.838	5.581
438.459	432.604	5.369
438.366	432.593	5.393
438.321	433.520	5.712
438.353	433.125	5.687
438.338	432.897	5.579
438.436	433.012	5.564
438.467	432.212	5.127
438.442	433.013	5.530
438.345	433.212	5.658
438.452	432.738	5.395
438.383	433.139	5.565
438.391	433.327	5.593
438.455	432.778	5.503
438.309	433.482	5.722
438.386	432.743	5.537
438.373	432.774	5.541
438.412	432.724	5.439
438.372	433.091	5.594
438.473	432.689	5.330
438.393	432.909	5.568
438.345	433.001	5.509
438.356	433.019	5.617
438.523	432.643	5.296
438.446	432.954	5.498
438.330	433.438	5.731
438.395	432.853	5.390
