22466s, 0.008096, loss: 18.185261,  ess_rws: 1.127474,  ess_eta: 9.976347,  ess_z: 3.770366,  inckl_eta: 0.007480,  inckl_z: 0.343085
22772s, 0.003368, loss: 18.211493,  ess_rws: 1.129131,  ess_eta: 9.978215,  ess_z: 3.763186,  inckl_eta: 0.003684,  inckl_z: 0.344199
23080s, 0.000989, loss: 18.096355,  ess_rws: 1.127380,  ess_eta: 9.975141,  ess_z: 3.808911,  inckl_eta: 0.003662,  inckl_z: 0.336142
23388s, 0.001447, loss: 18.150303,  ess_rws: 1.130853,  ess_eta: 9.977148,  ess_z: 3.819514,  inckl_eta: 0.038969,  inckl_z: 0.333641
23696s, 0.004825, loss: 18.265197,  ess_rws: 1.129793,  ess_eta: 9.979635,  ess_z: 3.804696,  inckl_eta: 0.003178,  inckl_z: 0.337823
24004s, 0.003982, loss: 18.077897,  ess_rws: 1.130294,  ess_eta: 9.976019,  ess_z: 3.867484,  inckl_eta: 0.003889,  inckl_z: 0.326237
24311s, 0.004917, loss: 18.211742,  ess_rws: 1.133556,  ess_eta: 9.977578,  ess_z: 3.858479,  inckl_eta: 0.003631,  inckl_z: 0.325254
24619s, 0.002979, loss: 18.041677,  ess_rws: 1.125879,  ess_eta: 9.974825,  ess_z: 3.911722,  inckl_eta: 0.003968,  inckl_z: 0.316726
24925s, 0.003515, loss: 18.058877,  ess_rws: 1.130416,  ess_eta: 9.976014,  ess_z: 3.903118,  inckl_eta: 0.003987,  inckl_z: 0.319330
25234s, 0.001341, loss: 18.036744,  ess_rws: 1.131415,  ess_eta: 9.977784,  ess_z: 3.925353,  inckl_eta: 0.004030,  inckl_z: 0.314614
25541s, 0.002161, loss: 17.972538,  ess_rws: 1.127648,  ess_eta: 9.975811,  ess_z: 3.969319,  inckl_eta: 0.003863,  inckl_z: 0.312593
25851s, 0.002604, loss: 18.079437,  ess_rws: 1.126015,  ess_eta: 9.976656,  ess_z: 3.932544,  inckl_eta: 0.120722,  inckl_z: 0.312605
26159s, 0.001477, loss: 18.041331,  ess_rws: 1.123407,  ess_eta: 9.977205,  ess_z: 3.915744,  inckl_eta: 0.004027,  inckl_z: 0.312762
26468s, 0.001616, loss: 17.968396,  ess_rws: 1.129018,  ess_eta: 9.973543,  ess_z: 3.993033,  inckl_eta: 0.004845,  inckl_z: 0.309670
26778s, 0.002919, loss: 18.044620,  ess_rws: 1.128340,  ess_eta: 9.977880,  ess_z: 3.951480,  inckl_eta: 0.004156,  inckl_z: 0.306880
27089s, 0.001584, loss: 17.977198,  ess_rws: 1.125418,  ess_eta: 9.979689,  ess_z: 3.974186,  inckl_eta: 0.004034,  inckl_z: 0.304619
27400s, 0.002007, loss: 18.002301,  ess_rws: 1.125856,  ess_eta: 9.978519,  ess_z: 3.996904,  inckl_eta: 0.004015,  inckl_z: 0.301644
27710s, 0.001421, loss: 18.053248,  ess_rws: 1.122689,  ess_eta: 9.977410,  ess_z: 4.032228,  inckl_eta: 0.003945,  inckl_z: 0.302127
