EUBO	ELBO	ESS
3463.778	-1030776.726	-1034240.496	1.288
3415.151	-1031261.912	-1034677.066	1.293
3498.934	-1033132.948	-1036631.884	1.294
3465.054	-1032346.584	-1035811.629	1.292
3425.837	-1031747.339	-1035173.182	1.293
3498.681	-1032860.017	-1036358.696	1.291
3421.005	-1032599.814	-1036020.825	1.289
3448.552	-1032487.242	-1035935.796	1.286
3477.642	-1032131.175	-1035608.807	1.296
3472.755	-1028632.949	-1032105.695	1.297
3398.388	-1030142.131	-1033540.512	1.290
3402.285	-1030877.528	-1034279.822	1.290
3450.427	-1027692.373	-1031142.804	1.294
3438.761	-1027052.826	-1030491.591	1.298
3425.051	-1026101.218	-1029526.277	1.295
3417.321	-1030903.698	-1034321.021	1.294
3450.665	-1028149.917	-1031600.579	1.296
3466.528	-1029342.791	-1032809.308	1.295
3435.078	-1027721.224	-1031156.299	1.295
3499.616	-1026803.776	-1030303.407	1.295
3351.161	-1027405.001	-1030756.143	1.296
3395.906	-1031443.979	-1034839.886	1.292
3373.652	-1036196.291	-1039569.948	1.295
3475.708	-1032376.366	-1035852.078	1.301
3383.821	-1033167.427	-1036551.241	1.297
3400.877	-1028452.795	-1031853.667	1.302
3356.992	-1026289.073	-1029646.062	1.306
3452.242	-1021991.754	-1025443.978	1.304
3442.899	-1019083.846	-1022526.744	1.299
3411.655	-1017241.167	-1020652.824	1.299
3356.760	-1015127.375	-1018484.122	1.308
3337.481	-1014172.931	-1017510.409	1.303
3374.398	-1014701.184	-1018075.583	1.304
3308.971	-1013558.682	-1016867.653	1.307
3387.466	-1012125.483	-1015512.954	1.300
3377.473	-1011710.186	-1015087.667	1.309
3366.054	-1008889.085	-1012255.132	1.300
3426.052	-1008105.806	-1011531.842	1.306
3400.795	-1010814.124	-1014214.932	1.297
3404.048	-1011764.137	-1015168.188	1.308
3371.658	-1006836.529	-1010208.179	1.302
3405.565	-1006770.503	-1010176.061	1.304
3352.636	-1004826.358	-1008178.997	1.301
3377.557	-1001971.545	-1005349.113	1.303
3405.368	-1000129.963	-1003535.324	1.303
3353.649	-997016.897	-1000370.554	1.304
3358.583	-995288.101	-998646.693	1.305
3320.823	-993859.419	-997180.248	1.307
3414.496	-991117.834	-994532.336	1.303
3317.246	-991009.107	-994326.349	1.308
3318.567	-989423.190	-992741.754	1.310
3278.156	-988274.702	-991552.851	1.308
3306.971	-989581.983	-992888.972	1.311
3331.511	-989728.116	-993059.621	1.298
3377.890	-989445.557	-992823.445	1.303
3365.675	-988917.917	-992283.583	1.317
3369.726	-988117.522	-991487.244	1.307
3296.824	-985618.462	-988915.278	1.305
3398.165	-984646.655	-988044.819	1.312
3396.065	-984536.292	-987932.363	1.306
3339.591	-986017.824	-989357.417	1.309
3368.647	-988287.667	-991656.313	1.300
3380.607	-986312.542	-989693.146	1.308
3419.643	-987002.819	-990422.466	1.309
3360.806	-988442.406	-991803.211	1.308
3379.142	-987304.199	-990683.331	1.308
3372.472	-990005.419	-993377.907	1.308
3360.457	-988797.222	-992157.683	1.310
3369.472	-993512.371	-996881.848	1.304
3403.645	-994982.586	-998386.229	1.302
3382.574	-992769.941	-996152.516	1.307
3360.694	-989506.922	-992867.608	1.306
3331.394	-989129.287	-992460.679	1.303
3373.468	-988421.067	-991794.542	1.305
3390.218	-982341.734	-985731.963	1.317
3364.438	-978262.939	-981627.383	1.314
3359.105	-976687.283	-980046.392	1.302
3410.506	-978084.624	-981495.133	1.314
3417.784	-976098.961	-979516.757	1.315
3377.626	-977626.407	-981004.034	1.312
3425.158	-976242.888	-979668.042	1.307
3384.909	-974825.431	-978210.336	1.311
3441.146	-970680.767	-974121.913	1.311
3428.958	-970237.420	-973666.387	1.310
3391.265	-965636.627	-969027.888	1.306
3420.433	-962945.248	-966365.688	1.308
3362.802	-959919.206	-963282.019	1.306
3387.249	-956157.449	-959544.690	1.311
3433.935	-956404.608	-959838.544	1.312
3389.124	-955938.767	-959327.888	1.305
3412.036	-954355.239	-957767.289	1.307
3386.143	-952567.447	-955953.591	1.308
3377.173	-951843.429	-955220.603	1.318
3414.654	-949802.808	-953217.464	1.312
3413.607	-948404.461	-951818.073	1.317
3415.698	-947088.283	-950503.974	1.308
3430.617	-946335.190	-949765.811	1.316
3358.708	-946379.797	-949738.514	1.316
3388.319	-946898.526	-950286.846	1.314
3426.847	-941875.708	-945302.551	1.314
3411.238	-942165.127	-945576.375	1.315
3359.347	-940189.624	-943548.965	1.313
3388.747	-940364.119	-943752.863	1.313
3362.394	-940516.017	-943878.406	1.319
3349.594	-939111.420	-942461.002	1.314
3353.216	-938520.010	-941873.233	1.315
3341.323	-934313.877	-937655.194	1.310
3365.139	-929310.865	-932676.006	1.320
3363.617	-928570.696	-931934.307	1.310
3353.241	-927140.924	-930494.173	1.315
3328.943	-926500.501	-929829.438	1.320
3322.098	-927289.216	-930611.318	1.314
3339.014	-923703.284	-927042.296	1.323
3342.312	-922694.553	-926036.868	1.325
3283.772	-921220.557	-924504.332	1.318
3338.242	-921348.905	-924687.149	1.317
3316.405	-924639.538	-927955.941	1.321
3340.169	-920713.186	-924053.359	1.320
3288.301	-916740.901	-920029.204	1.318
3291.888	-917790.012	-921081.901	1.319
3311.079	-917442.177	-920753.253	1.321
3272.943	-913387.452	-916660.411	1.319
3287.047	-912492.184	-915779.246	1.330
3299.983	-911564.782	-914864.771	1.320
3291.522	-909645.206	-912936.717	1.332
3295.316	-908394.294	-911689.608	1.322
3298.059	-908736.974	-912035.029	1.327
3254.910	-908695.592	-911950.498	1.330
3327.515	-905748.574	-909076.097	1.321
3310.740	-904492.067	-907802.807	1.329
3300.636	-903454.421	-906755.058	1.324
3235.008	-902268.151	-905503.161	1.323
3315.255	-903598.878	-906914.139	1.331
3289.091	-902451.103	-905740.195	1.326
3253.963	-900115.995	-903369.963	1.322
3319.289	-898359.474	-901678.763	1.322
3296.724	-899591.111	-902887.837	1.331
3284.799	-897055.158	-900339.952	1.332
3270.479	-894767.238	-898037.717	1.329
3318.048	-893644.954	-896963.007	1.328
3264.410	-891012.728	-894277.137	1.324
3237.597	-890406.359	-893643.960	1.324
3247.723	-889260.333	-892508.057	1.324
3255.344	-888095.996	-891351.351	1.333
3229.912	-890364.023	-893593.933	1.333
3228.593	-890225.498	-893454.101	1.330
