symKL_DB_eta: 58.123,  symKL_DB_z: 2.462,  gap: 53.587,  loss: -1292.364,  ess: 5.886
symKL_DB_eta: 57.939,  symKL_DB_z: 2.772,  gap: 53.278,  loss: -1299.183,  ess: 5.886
symKL_DB_eta: 57.741,  symKL_DB_z: 2.722,  gap: 52.982,  loss: -1288.475,  ess: 5.889
symKL_DB_eta: 57.910,  symKL_DB_z: 2.795,  gap: 53.334,  loss: -1296.675,  ess: 5.883
symKL_DB_eta: 57.165,  symKL_DB_z: 3.070,  gap: 52.146,  loss: -1290.728,  ess: 5.894
symKL_DB_eta: 57.298,  symKL_DB_z: 2.903,  gap: 52.445,  loss: -1298.982,  ess: 5.889
symKL_DB_eta: 58.029,  symKL_DB_z: 2.709,  gap: 53.168,  loss: -1296.761,  ess: 5.891
symKL_DB_eta: 57.737,  symKL_DB_z: 2.906,  gap: 53.070,  loss: -1296.417,  ess: 5.891
symKL_DB_eta: 57.840,  symKL_DB_z: 2.804,  gap: 53.051,  loss: -1306.546,  ess: 5.888
symKL_DB_eta: 61.773,  symKL_DB_z: 2.464,  gap: 52.865,  loss: -1285.588,  ess: 5.894
symKL_DB_eta: 57.361,  symKL_DB_z: 2.837,  gap: 52.566,  loss: -1289.473,  ess: 5.893
symKL_DB_eta: 57.712,  symKL_DB_z: 2.569,  gap: 52.872,  loss: -1300.023,  ess: 5.891
symKL_DB_eta: 57.336,  symKL_DB_z: 2.727,  gap: 52.640,  loss: -1294.913,  ess: 5.893
symKL_DB_eta: 57.326,  symKL_DB_z: 2.535,  gap: 52.697,  loss: -1300.586,  ess: 5.896
symKL_DB_eta: 56.903,  symKL_DB_z: 2.647,  gap: 51.962,  loss: -1287.685,  ess: 5.894
symKL_DB_eta: 56.925,  symKL_DB_z: 2.561,  gap: 52.085,  loss: -1279.142,  ess: 5.892
symKL_DB_eta: 56.872,  symKL_DB_z: 2.964,  gap: 52.013,  loss: -1293.992,  ess: 5.899
symKL_DB_eta: 57.100,  symKL_DB_z: 2.542,  gap: 52.478,  loss: -1298.553,  ess: 5.895
symKL_DB_eta: 57.333,  symKL_DB_z: 2.890,  gap: 52.442,  loss: -1293.686,  ess: 5.892
symKL_DB_eta: 56.449,  symKL_DB_z: 2.443,  gap: 51.808,  loss: -1278.020,  ess: 5.898
symKL_DB_eta: 56.894,  symKL_DB_z: 2.573,  gap: 52.111,  loss: -1292.193,  ess: 5.893
symKL_DB_eta: 55.997,  symKL_DB_z: 2.446,  gap: 51.234,  loss: -1293.127,  ess: 5.897
symKL_DB_eta: 56.615,  symKL_DB_z: 2.799,  gap: 51.778,  loss: -1288.143,  ess: 5.896
symKL_DB_eta: 56.650,  symKL_DB_z: 2.586,  gap: 51.894,  loss: -1300.916,  ess: 5.894
symKL_DB_eta: 56.635,  symKL_DB_z: 2.828,  gap: 51.829,  loss: -1286.593,  ess: 5.897
symKL_DB_eta: 56.269,  symKL_DB_z: 2.719,  gap: 51.227,  loss: -1287.587,  ess: 5.903
symKL_DB_eta: 55.931,  symKL_DB_z: 2.479,  gap: 51.188,  loss: -1287.147,  ess: 5.905
symKL_DB_eta: 55.883,  symKL_DB_z: 2.546,  gap: 51.140,  loss: -1280.902,  ess: 5.901
symKL_DB_eta: 56.463,  symKL_DB_z: 2.953,  gap: 51.553,  loss: -1299.313,  ess: 5.899
symKL_DB_eta: 56.611,  symKL_DB_z: 3.241,  gap: 51.667,  loss: -1301.028,  ess: 5.903
symKL_DB_eta: 56.142,  symKL_DB_z: 2.677,  gap: 51.093,  loss: -1287.750,  ess: 5.901
symKL_DB_eta: 56.448,  symKL_DB_z: 2.792,  gap: 51.620,  loss: -1300.096,  ess: 5.900
symKL_DB_eta: 55.960,  symKL_DB_z: 2.693,  gap: 51.031,  loss: -1282.254,  ess: 5.905
symKL_DB_eta: 55.999,  symKL_DB_z: 2.647,  gap: 50.867,  loss: -1295.597,  ess: 5.903
symKL_DB_eta: 55.817,  symKL_DB_z: 2.858,  gap: 51.030,  loss: -1295.249,  ess: 5.903
symKL_DB_eta: 55.952,  symKL_DB_z: 2.598,  gap: 51.166,  loss: -1300.742,  ess: 5.903
symKL_DB_eta: 56.159,  symKL_DB_z: 2.428,  gap: 51.461,  loss: -1282.685,  ess: 5.899
symKL_DB_eta: 55.580,  symKL_DB_z: 2.411,  gap: 50.707,  loss: -1289.954,  ess: 5.906
symKL_DB_eta: 55.860,  symKL_DB_z: 2.634,  gap: 50.903,  loss: -1296.379,  ess: 5.904
symKL_DB_eta: 55.774,  symKL_DB_z: 3.000,  gap: 50.714,  loss: -1297.808,  ess: 5.905
symKL_DB_eta: 56.244,  symKL_DB_z: 3.007,  gap: 51.224,  loss: -1292.625,  ess: 5.900
symKL_DB_eta: 56.201,  symKL_DB_z: 2.799,  gap: 51.129,  loss: -1290.074,  ess: 5.902
symKL_DB_eta: 55.941,  symKL_DB_z: 2.702,  gap: 50.956,  loss: -1284.337,  ess: 5.905
