EUBO, ELBO, ESS, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os
-211.8843536376953, -302.0213317871094, 1.083134412765503, 125.30706787109375, 14.165925979614258, 27.086666107177734, 11.029654502868652
-212.492919921875, -303.07464599609375, 1.102708101272583, 124.72612762451172, 14.05026626586914, 29.63089942932129, 12.432540893554688
-223.14276123046875, -323.5732116699219, 1.1070955991744995, 154.38034057617188, 15.129547119140625, 32.70652770996094, 12.226497650146484
-228.57186889648438, -324.1991271972656, 1.1852794885635376, 141.13601684570312, 13.747909545898438, 45.88433074951172, 12.00820255279541
-209.22206115722656, -299.0791320800781, 1.0967034101486206, 121.68830108642578, 14.430451393127441, 28.578083038330078, 12.514450073242188
-215.96844482421875, -321.0258483886719, 1.0707253217697144, 139.96873474121094, 15.27368450164795, 29.37747573852539, 12.178479194641113
-221.9060516357422, -310.1025695800781, 1.0863866806030273, 132.6569061279297, 14.552278518676758, 32.15222930908203, 12.738300323486328
-211.349609375, -300.49908447265625, 1.107794165611267, 127.77427673339844, 16.34644889831543, 32.325096130371094, 11.561667442321777
-222.29351806640625, -311.1601257324219, 1.0776768922805786, 127.08618927001953, 15.325045585632324, 33.20889663696289, 12.776420593261719
-222.39532470703125, -310.9936828613281, 1.0866318941116333, 135.1448211669922, 14.04067611694336, 32.41075897216797, 11.864015579223633
-219.8445587158203, -314.352294921875, 1.0198462009429932, 126.70586395263672, 14.717635154724121, 37.669700622558594, 13.086705207824707
-212.81907653808594, -302.2375183105469, 1.122825026512146, 129.1660919189453, 13.652875900268555, 25.991411209106445, 10.735103607177734
-216.53573608398438, -297.92071533203125, 1.060327172279358, 117.11509704589844, 14.666940689086914, 35.138450622558594, 12.008354187011719
-216.51280212402344, -301.7588806152344, 1.1194615364074707, 120.07472229003906, 13.282069206237793, 29.761484146118164, 11.462320327758789
-213.91261291503906, -290.0128479003906, 1.1051995754241943, 110.0316162109375, 13.669294357299805, 26.82730484008789, 10.549020767211914
-204.16775512695312, -279.79449462890625, 1.149453043937683, 103.31330108642578, 14.69585132598877, 25.995479583740234, 11.148127555847168
-210.82191467285156, -294.46514892578125, 1.0431970357894897, 109.09774780273438, 14.105130195617676, 38.91697311401367, 11.37685775756836
-206.75192260742188, -275.8399963378906, 1.0875213146209717, 102.19791412353516, 14.371034622192383, 22.808252334594727, 10.666738510131836
-201.45159912109375, -264.3514404296875, 1.1401110887527466, 97.2086410522461, 14.24106502532959, 25.815258026123047, 10.432172775268555
-208.6882781982422, -287.2967529296875, 1.0424680709838867, 113.70962524414062, 13.623763084411621, 27.641767501831055, 10.566325187683105
-200.83665466308594, -256.1854553222656, 1.1812185049057007, 83.11984252929688, 13.205209732055664, 20.194189071655273, 10.241435050964355
-204.19212341308594, -283.3476867675781, 1.0463539361953735, 110.60382843017578, 14.795660972595215, 24.7977237701416, 10.48729133605957
-203.26422119140625, -272.5254211425781, 1.121088981628418, 97.33287048339844, 13.949175834655762, 27.951154708862305, 9.915515899658203
-199.27777099609375, -264.4145202636719, 1.0786442756652832, 88.59567260742188, 12.714980125427246, 21.832313537597656, 9.280510902404785
-204.0353240966797, -270.81414794921875, 1.095320701599121, 95.8128890991211, 15.301386833190918, 21.567461013793945, 10.002002716064453
-207.5555877685547, -270.768798828125, 1.0653961896896362, 96.50716400146484, 13.929072380065918, 30.593908309936523, 11.270694732666016
-201.21473693847656, -255.2832794189453, 1.1210120916366577, 77.84306335449219, 13.1201753616333, 25.78923797607422, 9.93771743774414
-201.91043090820312, -264.0523986816406, 1.1641422510147095, 86.60432434082031, 12.302595138549805, 18.63945770263672, 9.048991203308105
-219.4373321533203, -296.0194396972656, 1.1190932989120483, 115.51360321044922, 13.223124504089355, 35.85536575317383, 11.869085311889648
-209.6900177001953, -275.8974609375, 1.143531322479248, 107.18402099609375, 15.4680757522583, 24.17357635498047, 10.525219917297363
-204.73643493652344, -271.8485107421875, 1.0665298700332642, 84.95267486572266, 12.977672576904297, 25.00493812561035, 10.513694763183594
-193.88116455078125, -244.74240112304688, 1.1774991750717163, 75.73908996582031, 15.868016242980957, 21.849538803100586, 9.13644027709961
-198.89120483398438, -251.64585876464844, 1.25270414352417, 72.91020965576172, 13.15585994720459, 19.991321563720703, 9.070075035095215
-224.00027465820312, -379.78814697265625, 1.0517834424972534, 182.595703125, 14.367777824401855, 38.73175048828125, 10.171673774719238
-205.2487030029297, -268.7131652832031, 1.1115761995315552, 92.96837615966797, 15.586718559265137, 21.83546257019043, 10.053894996643066
-202.80081176757812, -254.15475463867188, 1.116282343864441, 74.23222351074219, 13.213095664978027, 25.252872467041016, 10.522326469421387
-209.6383514404297, -271.6922912597656, 1.1511611938476562, 88.9019775390625, 13.446441650390625, 26.1817626953125, 11.135822296142578
-199.69454956054688, -251.39344787597656, 1.1284961700439453, 74.45885467529297, 12.736801147460938, 20.712474822998047, 8.995452880859375
-202.5938262939453, -256.43035888671875, 1.196359634399414, 77.97560119628906, 12.12999439239502, 19.81654930114746, 9.290387153625488
-198.81019592285156, -248.2722625732422, 1.0652216672897339, 69.72772979736328, 12.545158386230469, 18.18318748474121, 8.630037307739258
-196.96876525878906, -244.38751220703125, 1.1250888109207153, 71.04393768310547, 13.583963394165039, 19.724132537841797, 9.581499099731445
-206.8948974609375, -263.3728332519531, 1.0827275514602661, 87.53147888183594, 14.944191932678223, 26.317455291748047, 10.291324615478516
-194.4451446533203, -239.00320434570312, 1.1698592901229858, 66.28221893310547, 13.161307334899902, 17.37212562561035, 8.253423690795898
