EUBO, ELBO, ESS, KLs_eta_ex_os, KLs_eta_in_os, KL_z_ex_os, KL_z_in_os
-226.86708068847656, -339.13836669921875, 1.0812287330627441, 157.61790466308594, 14.990983963012695, 38.05248260498047, 13.35068130493164
-221.95968627929688, -320.5166931152344, 1.027961015701294, 144.36366271972656, 12.994342803955078, 39.05837631225586, 12.926779747009277
-249.5403289794922, -399.9976806640625, 1.0760502815246582, 223.10916137695312, 15.691493034362793, 39.50708770751953, 13.35179328918457
-243.3989715576172, -390.1205749511719, 1.0899827480316162, 213.6397247314453, 14.976701736450195, 53.3066291809082, 14.320988655090332
-222.4947967529297, -327.0853271484375, 1.1076077222824097, 149.10142517089844, 14.949023246765137, 36.35372543334961, 12.7384033203125
-210.76451110839844, -309.3012390136719, 1.0466910600662231, 138.31515502929688, 13.693424224853516, 31.45235252380371, 11.971135139465332
-228.10899353027344, -314.1714782714844, 1.0272216796875, 126.5408935546875, 13.125330924987793, 45.42689514160156, 12.88242244720459
-232.9551544189453, -339.5677185058594, 1.0876270532608032, 147.2915802001953, 14.037007331848145, 44.2658576965332, 13.754322052001953
-218.300537109375, -300.607666015625, 1.0259603261947632, 122.81572723388672, 13.412109375, 35.811344146728516, 13.750961303710938
-225.24647521972656, -328.22808837890625, 1.1498104333877563, 149.85752868652344, 13.483424186706543, 35.45591354370117, 13.333907127380371
-211.99319458007812, -302.2872314453125, 1.0446463823318481, 116.26144409179688, 12.772541046142578, 31.390472412109375, 11.939021110534668
-221.27113342285156, -314.678466796875, 1.1087337732315063, 131.38951110839844, 14.05782413482666, 29.185564041137695, 12.36647891998291
-218.04074096679688, -298.91973876953125, 1.0830591917037964, 116.69960021972656, 13.738792419433594, 29.88469696044922, 12.317954063415527
-205.4012908935547, -293.5181884765625, 1.1645210981369019, 118.18724060058594, 13.08704662322998, 29.332929611206055, 11.875925064086914
-218.3846893310547, -351.3028869628906, 1.1248444318771362, 197.17601013183594, 13.196978569030762, 43.736419677734375, 11.847601890563965
-214.18882751464844, -296.8810119628906, 1.0554521083831787, 115.85942840576172, 13.01199722290039, 35.18959045410156, 12.216389656066895
-205.31417846679688, -281.5967102050781, 1.0903888940811157, 102.44552612304688, 12.868840217590332, 25.469812393188477, 11.705910682678223
-208.84249877929688, -301.85150146484375, 1.060970425605774, 115.61727142333984, 13.517345428466797, 29.85624885559082, 11.444207191467285
-218.4154510498047, -318.0950012207031, 1.0703206062316895, 158.22311401367188, 13.573142051696777, 37.75021743774414, 12.033679962158203
-204.1031036376953, -278.0549011230469, 1.0665439367294312, 100.06361389160156, 13.192087173461914, 20.69678497314453, 10.075220108032227
-213.00209045410156, -276.81976318359375, 1.184731364250183, 95.56593322753906, 13.242318153381348, 29.5872745513916, 12.0125732421875
-204.1123809814453, -274.5757141113281, 1.1215136051177979, 98.91197967529297, 14.025941848754883, 21.14993667602539, 10.319987297058105
