(235s) loss: 21.039,  ess: 7.529,  kl_eta_ex: 0.209,  kl_eta_in: 0.125,  kl_z_ex: 0.006,  kl_z_in: 0.002
(232s) loss: 21.080,  ess: 7.535,  kl_eta_ex: 0.206,  kl_eta_in: 0.124,  kl_z_ex: 0.006,  kl_z_in: 0.002
(231s) loss: 21.046,  ess: 7.533,  kl_eta_ex: 0.203,  kl_eta_in: 0.123,  kl_z_ex: 0.006,  kl_z_in: 0.002
(239s) loss: 21.086,  ess: 7.526,  kl_eta_ex: 0.196,  kl_eta_in: 0.121,  kl_z_ex: 0.006,  kl_z_in: 0.002
(231s) loss: 21.112,  ess: 7.523,  kl_eta_ex: 0.195,  kl_eta_in: 0.120,  kl_z_ex: 0.006,  kl_z_in: 0.002
(231s) loss: 21.107,  ess: 7.530,  kl_eta_ex: 0.192,  kl_eta_in: 0.119,  kl_z_ex: 0.006,  kl_z_in: 0.002
(234s) loss: 21.077,  ess: 7.541,  kl_eta_ex: 0.191,  kl_eta_in: 0.117,  kl_z_ex: 0.005,  kl_z_in: 0.002
(233s) loss: 21.068,  ess: 7.542,  kl_eta_ex: 0.187,  kl_eta_in: 0.116,  kl_z_ex: 0.005,  kl_z_in: 0.002
(237s) loss: 21.026,  ess: 7.557,  kl_eta_ex: 0.185,  kl_eta_in: 0.114,  kl_z_ex: 0.005,  kl_z_in: 0.002
(232s) loss: 21.087,  ess: 7.554,  kl_eta_ex: 0.185,  kl_eta_in: 0.113,  kl_z_ex: 0.005,  kl_z_in: 0.002
(238s) loss: 21.052,  ess: 7.565,  kl_eta_ex: 0.179,  kl_eta_in: 0.110,  kl_z_ex: 0.005,  kl_z_in: 0.002
(234s) loss: 21.035,  ess: 7.576,  kl_eta_ex: 0.179,  kl_eta_in: 0.110,  kl_z_ex: 0.005,  kl_z_in: 0.002
(232s) loss: 21.009,  ess: 7.571,  kl_eta_ex: 0.178,  kl_eta_in: 0.109,  kl_z_ex: 0.005,  kl_z_in: 0.002
(231s) loss: 21.000,  ess: 7.585,  kl_eta_ex: 0.175,  kl_eta_in: 0.107,  kl_z_ex: 0.004,  kl_z_in: 0.002
(237s) loss: 21.060,  ess: 7.574,  kl_eta_ex: 0.173,  kl_eta_in: 0.107,  kl_z_ex: 0.005,  kl_z_in: 0.002
(237s) loss: 21.070,  ess: 7.583,  kl_eta_ex: 0.170,  kl_eta_in: 0.105,  kl_z_ex: 0.005,  kl_z_in: 0.002
(232s) loss: 21.044,  ess: 7.589,  kl_eta_ex: 0.171,  kl_eta_in: 0.104,  kl_z_ex: 0.004,  kl_z_in: 0.002
(234s) loss: 21.057,  ess: 7.583,  kl_eta_ex: 0.168,  kl_eta_in: 0.102,  kl_z_ex: 0.004,  kl_z_in: 0.002
(231s) loss: 20.972,  ess: 7.604,  kl_eta_ex: 0.167,  kl_eta_in: 0.102,  kl_z_ex: 0.004,  kl_z_in: 0.002
(243s) loss: 20.982,  ess: 7.596,  kl_eta_ex: 0.166,  kl_eta_in: 0.101,  kl_z_ex: 0.004,  kl_z_in: 0.002
(236s) loss: 21.012,  ess: 7.604,  kl_eta_ex: 0.165,  kl_eta_in: 0.100,  kl_z_ex: 0.004,  kl_z_in: 0.002
(236s) loss: 20.996,  ess: 7.605,  kl_eta_ex: 0.164,  kl_eta_in: 0.100,  kl_z_ex: 0.004,  kl_z_in: 0.002
(237s) loss: 21.032,  ess: 7.599,  kl_eta_ex: 0.164,  kl_eta_in: 0.100,  kl_z_ex: 0.004,  kl_z_in: 0.002
(242s) loss: 21.005,  ess: 7.600,  kl_eta_ex: 0.159,  kl_eta_in: 0.098,  kl_z_ex: 0.004,  kl_z_in: 0.002
(231s) loss: 21.016,  ess: 7.610,  kl_eta_ex: 0.159,  kl_eta_in: 0.097,  kl_z_ex: 0.004,  kl_z_in: 0.002
(230s) loss: 21.030,  ess: 7.613,  kl_eta_ex: 0.160,  kl_eta_in: 0.097,  kl_z_ex: 0.004,  kl_z_in: 0.002
(231s) loss: 21.018,  ess: 7.614,  kl_eta_ex: 0.155,  kl_eta_in: 0.096,  kl_z_ex: 0.004,  kl_z_in: 0.002
(238s) loss: 20.947,  ess: 7.625,  kl_eta_ex: 0.155,  kl_eta_in: 0.095,  kl_z_ex: 0.004,  kl_z_in: 0.002
(237s) loss: 21.012,  ess: 7.631,  kl_eta_ex: 0.155,  kl_eta_in: 0.095,  kl_z_ex: 0.004,  kl_z_in: 0.002
