DB_eta,  DB_z,  loss,  ess,  KL_eta_ex,  KL_eta_in,  KL_z_ex,  KL_z_in
2.178,  1.331,  -423.357,  8.409,  0.006,  0.003,  0.254,  0.104
2.178,  1.358,  -423.290,  8.412,  0.007,  0.004,  0.254,  0.102
2.208,  1.274,  -423.726,  8.415,  0.005,  0.003,  0.257,  0.104
2.203,  1.302,  -423.649,  8.418,  0.005,  0.003,  0.245,  0.101
2.164,  1.289,  -423.940,  8.417,  0.005,  0.003,  0.254,  0.102
2.198,  1.278,  -424.283,  8.419,  0.006,  0.003,  0.244,  0.098
2.156,  1.302,  -424.754,  8.422,  0.006,  0.003,  0.248,  0.098
2.201,  1.247,  -424.429,  8.424,  0.005,  0.003,  0.245,  0.097
2.154,  1.230,  -425.061,  8.429,  0.006,  0.003,  0.240,  0.096
2.185,  1.226,  -425.152,  8.435,  0.007,  0.003,  0.242,  0.096
2.163,  1.251,  -425.788,  8.439,  0.006,  0.003,  0.239,  0.095
2.134,  1.216,  -425.643,  8.435,  0.006,  0.003,  0.238,  0.094
2.162,  1.198,  -425.604,  8.434,  0.007,  0.003,  0.233,  0.093
2.138,  1.243,  -425.807,  8.439,  0.006,  0.003,  0.239,  0.094
2.108,  1.156,  -426.188,  8.443,  0.007,  0.003,  0.237,  0.091
2.166,  1.192,  -426.488,  8.443,  0.006,  0.003,  0.229,  0.090
2.140,  1.162,  -426.329,  8.442,  0.006,  0.003,  0.231,  0.089
2.186,  1.351,  -426.372,  8.447,  0.007,  0.003,  0.234,  0.091
2.175,  1.237,  -426.706,  8.443,  0.006,  0.003,  0.227,  0.089
2.189,  1.209,  -427.057,  8.450,  0.007,  0.003,  0.228,  0.088
2.124,  1.257,  -427.112,  8.453,  0.007,  0.003,  0.232,  0.087
2.184,  1.173,  -427.087,  8.449,  0.007,  0.003,  0.225,  0.085
2.177,  1.264,  -427.270,  8.453,  0.006,  0.003,  0.229,  0.086
2.196,  1.252,  -427.784,  8.453,  0.008,  0.003,  0.226,  0.088
2.179,  1.158,  -427.089,  8.457,  0.006,  0.003,  0.224,  0.086
2.117,  1.135,  -427.524,  8.459,  0.007,  0.003,  0.222,  0.085
2.139,  1.201,  -427.579,  8.461,  0.007,  0.003,  0.222,  0.086
2.178,  1.174,  -427.778,  8.459,  0.008,  0.003,  0.216,  0.082
2.193,  1.246,  -427.634,  8.456,  0.007,  0.003,  0.217,  0.083
2.147,  1.243,  -427.945,  8.456,  0.007,  0.003,  0.214,  0.081
2.224,  1.184,  -427.975,  8.452,  0.008,  0.003,  0.218,  0.083
2.115,  1.158,  -428.133,  8.460,  0.008,  0.003,  0.218,  0.082
2.171,  1.179,  -428.032,  8.459,  0.008,  0.003,  0.218,  0.081
2.140,  1.146,  -427.709,  8.452,  0.007,  0.003,  0.215,  0.080
2.212,  1.226,  -427.873,  8.456,  0.009,  0.004,  0.220,  0.079
2.207,  1.184,  -427.987,  8.465,  0.008,  0.003,  0.208,  0.077
2.154,  1.131,  -427.692,  8.461,  0.007,  0.003,  0.212,  0.078
2.199,  1.133,  -427.886,  8.462,  0.007,  0.003,  0.213,  0.078
2.162,  1.120,  -428.089,  8.458,  0.008,  0.004,  0.203,  0.077
2.130,  1.121,  -428.317,  8.457,  0.008,  0.004,  0.213,  0.078
2.148,  1.162,  -428.234,  8.461,  0.008,  0.003,  0.198,  0.074
2.168,  1.098,  -428.072,  8.463,  0.009,  0.004,  0.197,  0.073
2.134,  1.157,  -428.065,  8.460,  0.008,  0.003,  0.206,  0.075
2.107,  1.166,  -428.207,  8.463,  0.009,  0.004,  0.199,  0.075
2.138,  1.246,  -427.819,  8.465,  0.009,  0.004,  0.200,  0.073
2.100,  1.070,  -428.471,  8.466,  0.008,  0.003,  0.203,  0.074
2.150,  1.231,  -428.003,  8.467,  0.008,  0.003,  0.194,  0.073
2.193,  1.169,  -428.232,  8.470,  0.007,  0.003,  0.197,  0.072
2.172,  1.208,  -428.041,  8.462,  0.009,  0.004,  0.196,  0.073
2.161,  1.049,  -428.299,  8.464,  0.007,  0.003,  0.188,  0.071
2.166,  1.111,  -428.115,  8.466,  0.008,  0.003,  0.189,  0.070
2.127,  1.062,  -428.310,  8.465,  0.008,  0.004,  0.191,  0.069
2.119,  1.029,  -428.325,  8.466,  0.007,  0.003,  0.191,  0.070
2.163,  1.123,  -428.321,  8.460,  0.007,  0.003,  0.187,  0.070
2.180,  1.058,  -428.271,  8.462,  0.009,  0.004,  0.190,  0.071
2.205,  1.130,  -428.701,  8.464,  0.009,  0.004,  0.184,  0.068
2.212,  1.184,  -428.496,  8.461,  0.009,  0.004,  0.192,  0.069
2.185,  1.114,  -428.575,  8.469,  0.008,  0.003,  0.186,  0.068
2.159,  1.117,  -428.388,  8.472,  0.008,  0.003,  0.183,  0.068
2.119,  1.082,  -428.513,  8.467,  0.007,  0.003,  0.181,  0.068
2.138,  1.085,  -428.386,  8.467,  0.008,  0.003,  0.190,  0.067
2.162,  1.167,  -428.325,  8.461,  0.008,  0.003,  0.180,  0.068
2.107,  1.081,  -428.529,  8.470,  0.008,  0.004,  0.176,  0.066
2.176,  1.062,  -428.370,  8.464,  0.008,  0.004,  0.179,  0.066
2.159,  1.070,  -428.402,  8.467,  0.009,  0.004,  0.188,  0.067
2.128,  1.082,  -428.258,  8.469,  0.008,  0.003,  0.176,  0.064
2.117,  1.053,  -428.485,  8.470,  0.007,  0.003,  0.176,  0.065
2.157,  1.000,  -428.385,  8.472,  0.008,  0.004,  0.177,  0.066
2.132,  1.067,  -428.295,  8.465,  0.008,  0.004,  0.177,  0.063
2.145,  1.122,  -428.212,  8.469,  0.009,  0.004,  0.170,  0.064
2.161,  1.016,  -428.726,  8.465,  0.008,  0.003,  0.170,  0.064
2.162,  1.017,  -428.083,  8.466,  0.008,  0.004,  0.172,  0.063
2.169,  1.022,  -428.790,  8.473,  0.008,  0.004,  0.175,  0.064
2.149,  0.969,  -428.316,  8.467,  0.007,  0.003,  0.172,  0.062
2.194,  1.048,  -428.372,  8.466,  0.008,  0.004,  0.170,  0.064
