(518s) phi_loss: -1063.888,  theta_loss: 1632.987,  ess: 3.641
(526s) phi_loss: -1065.406,  theta_loss: 1645.017,  ess: 3.637
(511s) phi_loss: -1063.928,  theta_loss: 1641.302,  ess: 3.637
(534s) phi_loss: -1063.618,  theta_loss: 1631.902,  ess: 3.643
(526s) phi_loss: -1063.422,  theta_loss: 1644.866,  ess: 3.640
(543s) phi_loss: -1063.243,  theta_loss: 1635.103,  ess: 3.644
(550s) phi_loss: -1061.267,  theta_loss: 1640.298,  ess: 3.648
(547s) phi_loss: -1060.553,  theta_loss: 1647.096,  ess: 3.640
(530s) phi_loss: -1059.871,  theta_loss: 1632.457,  ess: 3.650
(533s) phi_loss: -1059.529,  theta_loss: 1644.054,  ess: 3.643
(528s) phi_loss: -1060.130,  theta_loss: 1642.496,  ess: 3.649
(541s) phi_loss: -1058.561,  theta_loss: 1637.140,  ess: 3.651
(546s) phi_loss: -1058.709,  theta_loss: 1650.091,  ess: 3.649
(534s) phi_loss: -1057.577,  theta_loss: 1638.833,  ess: 3.651
(550s) phi_loss: -1058.598,  theta_loss: 1642.216,  ess: 3.652
(530s) phi_loss: -1058.210,  theta_loss: 1643.213,  ess: 3.655
(534s) phi_loss: -1056.560,  theta_loss: 1646.699,  ess: 3.652
(516s) phi_loss: -1055.383,  theta_loss: 1645.484,  ess: 3.654
(548s) phi_loss: -1056.170,  theta_loss: 1644.350,  ess: 3.655
(519s) phi_loss: -1055.618,  theta_loss: 1645.426,  ess: 3.656
(524s) phi_loss: -1055.012,  theta_loss: 1638.033,  ess: 3.658
(537s) phi_loss: -1054.385,  theta_loss: 1651.363,  ess: 3.656
(524s) phi_loss: -1054.250,  theta_loss: 1643.843,  ess: 3.663
(519s) phi_loss: -1054.326,  theta_loss: 1646.047,  ess: 3.659
(515s) phi_loss: -1053.288,  theta_loss: 1643.976,  ess: 3.667
(526s) phi_loss: -1052.304,  theta_loss: 1643.919,  ess: 3.664
(535s) phi_loss: -1052.069,  theta_loss: 1650.739,  ess: 3.667
(546s) phi_loss: -1051.211,  theta_loss: 1645.778,  ess: 3.664
(541s) phi_loss: -1051.635,  theta_loss: 1640.698,  ess: 3.666
(548s) phi_loss: -1050.651,  theta_loss: 1654.527,  ess: 3.664
(543s) phi_loss: -1051.215,  theta_loss: 1645.644,  ess: 3.666
(534s) phi_loss: -1050.906,  theta_loss: 1652.230,  ess: 3.668
(521s) phi_loss: -1050.329,  theta_loss: 1649.377,  ess: 3.671
(511s) phi_loss: -1049.583,  theta_loss: 1647.281,  ess: 3.671
(517s) phi_loss: -1048.556,  theta_loss: 1646.792,  ess: 3.674
(548s) phi_loss: -1047.809,  theta_loss: 1654.473,  ess: 3.667
(543s) phi_loss: -1048.510,  theta_loss: 1641.508,  ess: 3.672
(547s) phi_loss: -1048.789,  theta_loss: 1650.868,  ess: 3.673
(538s) phi_loss: -1048.664,  theta_loss: 1650.794,  ess: 3.677
(532s) phi_loss: -1048.752,  theta_loss: 1649.977,  ess: 3.675
(524s) phi_loss: -1048.010,  theta_loss: 1645.895,  ess: 3.678
(521s) phi_loss: -1046.620,  theta_loss: 1645.484,  ess: 3.681
(530s) phi_loss: -1046.727,  theta_loss: 1644.984,  ess: 3.676
(528s) phi_loss: -1046.938,  theta_loss: 1641.697,  ess: 3.681
(539s) phi_loss: -1046.521,  theta_loss: 1646.205,  ess: 3.679
(549s) phi_loss: -1045.800,  theta_loss: 1640.246,  ess: 3.682
(549s) phi_loss: -1045.719,  theta_loss: 1652.047,  ess: 3.679
(548s) phi_loss: -1045.403,  theta_loss: 1648.460,  ess: 3.680
(526s) phi_loss: -1045.646,  theta_loss: 1646.061,  ess: 3.684
(546s) phi_loss: -1044.231,  theta_loss: 1647.918,  ess: 3.684
(538s) phi_loss: -1044.144,  theta_loss: 1645.014,  ess: 3.684
(549s) phi_loss: -1044.467,  theta_loss: 1647.907,  ess: 3.682
(539s) phi_loss: -1042.458,  theta_loss: 1658.010,  ess: 3.681
(526s) phi_loss: -1043.290,  theta_loss: 1654.829,  ess: 3.685
(542s) phi_loss: -1041.583,  theta_loss: 1646.226,  ess: 3.685
(541s) phi_loss: -1043.641,  theta_loss: 1646.688,  ess: 3.682
(539s) phi_loss: -1042.009,  theta_loss: 1653.775,  ess: 3.685
(548s) phi_loss: -1042.802,  theta_loss: 1645.519,  ess: 3.684
(540s) phi_loss: -1042.746,  theta_loss: 1633.635,  ess: 3.687
(512s) phi_loss: -1042.637,  theta_loss: 1648.594,  ess: 3.685
